date,snippet
2015-12-14,"The South Korean electronics giant will acquire the American provider of sound systems and components for cars in a push toward smart devices The latest generation of a laptop beloved by creative professionals and coders has just one type of connection port, an unhelpful Touch Bar and a big price tag Shares of Harman International soared after the company agreed to be acquired by Samsung Electronics Most devices connect to the television through an HDMI port, but you can find gear to work with the composite connections used by legacy TV sets Amid rising attacks on members of minority groups across the United States, refugees find themselves comparing the threats they fled to those that might still emerge The  billion price looks fair for a company that will jumpstart Samsungs presence in the connectedcar supplier market"
2015-12-15,"The presidential election underscores a problem for the tech industry that a small group of people designs products the entire world uses, perhaps stifling diversity of thought With voice commands and tablets, you can close the drapes and turn out the lights in your hotel room without getting out of your bed or chair The stock market has risen, with investors seemingly betting that Donald Trump will stick to proposals that would benefit corporate profits, and abandon others that wouldnt Tax reform is one thing Presidentelect Donald J Trump and Speaker Paul Ryan can agree on, broadly, though the specifics can get thorny Weijian Shan of the fund management firm PAG is focusing his money on companies that can benefit from Chinas rising consumerism The following taxexempt fixedincome issues are scheduled for pricing this week The Chinese market is dominated by Douban, which exposes users to thousands of bands around the world and is essential to Chinas own music scene"
2015-12-16,"A critical guide to performances of classical music in the New York City area An environmental group says companies and citizens recognize that the costs of coal to health and climate outweigh the benefits of cheap electricity Senior centers have undergone profound changes in recent years to appeal to baby boomers who are living longer and expect more  much more Ten songs, videos and unearthed live recordings that caught our critics attention this week, from Giorgio Moroders Good for Me to Coldplays Everglow"
2015-12-17,"Heres what you need to know to start your day Samantha Bee, Seth Meyers, Stephen Colbert and Jimmy Fallon talk sincerely, and with humor, about the presidential election A city of , produces an outsize share of top players, and an outsize share of dreams for the areas youth After shaking off the shock of the election results, markets have been recovering What happens next across the economy A new wave of companies is trying to win over younger consumers  by considering their emotional needs as much as their material ones The neighborhood blends old and new, with millennials living next door to decadeslong residents The shopping scene reflects a little of both, too"
2015-12-18,"Richard Nelsons Women of a Certain Age, Part  of a cycle, at the Public Theater, focuses on a family gathering on the night of voting, and what comes next For some, there was a realization that the tech industrys relationship with government  and the public  is likely to shift in a fundamental way Eddie Borgo and Tiffany have a new jewelry line, JW Anderson has his first sample sale in the United States, and more shopping news The Irish government says European antitrust officials were wrong to force the iPhone maker to give up what they consider unfair concessions While its a bit spread out, a vibrant retail scene includes dynamic stores popping up on blocks that are otherwise either residential or industrial The Trump administration is likely to seek vast cuts in regulations across the banking, health care and energy industries"
2015-12-19,"Twelve Times journalists relay their most memorable anecdotes from election nights past If you find yourself squinting to read mail and web pages on your smartphone, you can bump up the font size to give your eyes a break Women of a Certain Age, about this years presidential election, has its premiere on Tuesday We spoke with the playwright hours before the actors got his final changes Using smartphones to track family members can be reassuring, but it can open the door to a surveillance state in the home Waldorf salad is definitely in the DNA of this starter from the Publican restaurant in Chicago Apples and walnuts provide the base, and raw brussels sprouts and kohlrabi take the place of the celery The dressing, a honeyed vinaigrette made with  Raw brussels sprouts can stand up to the boldest and most assertive of flavors Pair the shredded sprouts with a garlicky lemon dressing, plenty of aged Parmesan and crushed toasted walnuts Toss in something crispy and sweet apples and pears ar"
2015-12-20,"Hundreds of rogue apps, most of which came from developers in China, have managed to slip through Apples review process Members of the former Seattle supergroup that began a quartercentury ago have reconnected and are on their first tour Consumers may be deceived into entering their credit card numbers into counterfeit applications, often disguised as bona fide programs John Risher has been recording statistics as a volunteer at Virginias home football games since , and he shows no signs of stopping anytime soon Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see A former longtime political reporter for The Times reflects on Election Days past Elisabeth Prueitt is finding sweetness beyond wheat at the San Francisco bakery she founded with her husband More than a thousand people attended the first Emojicon, in San Francisco, celebrating a highly regulated industry of smiles, grimaces, devils and foods Heres what you need to know to start your day"
2015-12-21,"Consensus emerges among politicians, including both presidential candidates, that companies foreign profits should be brought back to America But how Krav maga lessons started as research but became an enjoyable punishment As the region has become more congested and expensive, there are growing demands to rein in the physical space that many technologists call home Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks Proposition  would tax ecigarettes in the state for the first time, despite evidence suggesting ecigarettes are less harmful and may help people quit smoking"
2015-12-22,"Not every Mac model comes with a microphone, but you can still command Apples virtual assistant with an external accessory We asked students what they would do if they were in charge, what their concerns and hopes for the future would be Authorities are looking into whether Andrey Baranov conspired with American marathon organizers to allow athletes using banned substances to compete in their events For the holiday, selecting the wines is the easiest task of all All bottles are good, though some are better Studies have shown that people tend to consider unsolicited advice as a threat to their free will, and they will often protest by doing the opposite After more than a decade away, a foreign correspondent comes back to take stock of his divided homeland Corner markets and grocery stores are closing across the city, changing the tenor of a neighborhood and forcing some to rethink their daily routines"
2015-12-23,"A  examination of the route, published in onemile increments, was truncated by Hurricane Sandy The writer returns, four years later, for the final two miles and  yards A rent increase has prompted the store to shutter in January, leaving the underserved borough without a generalinterest bookstore The center of the world  filled with restaurants and glamorous nightclubs  lies between Central Park and the Battery The search giant faces three cases accusing it of hampering consumer choice and crippling competitors, all of which it denies"
2015-12-24,"Were open sourcing our video transcoding API and video encoding presets, as part of our plan to open source our video encoding and distribution pipeline Turner Classic Movies and the Criterion Collection hope FilmStruck appeals to viewers who want to supplement other streaming services or cable The tech giant introduced Microsoft Teams, an addition to its Office  suite, which resembles Slack but adds features like threaded conversations and videoconferencing Recorded just before the death of Phife Dawg in March, We Got It From Here, Thank You For Your Service is heavy with his presence Ray McKinnon discusses the themes of his SundanceTV show, which recently began its fourth and final season"
2015-12-25,"We dont expect our technology to match our outfits, the entertainerentrepreneur said But with a band of fashion power players, hes out to change that"
2015-12-26,"When Mr Trump wants his buildings to seem bigger than they actually are, he enlarges them the same way he has thwarted long odds and defied reality throughout the election season with sheer bluster Tuesday Comedians weigh in on our city, the New York Comedy Festival begins and local milk packaging ends"
2015-12-27,Carol and Morgan meet a new settlement that expands both the cast and the shows philosophy The search giant is one of several American tech companies facing inspections overseas for the way they do business China sought to make an example of GlaxoSmithKline in a case that involved bribery of doctors and investigators and ended with guilty pleas and record penalties
2015-12-28,"The search giant is fighting three antitrust charges, and the results will have a major impact on both the tech company and European policy makers Why did bygone Halloween traditions place so much emphasis on romance Long before New York Citys plazas and parks were filled with lunchtime crowds, the city embarked on a campaign to carve out small pockets of urban greenery Some are just for looking As banks prepare to roll out this technology, the experience on the other side of the Atlantic shows how to avoid fraudulent activity on these new types of credit and debit cards"
2015-12-29,"Roger Kaiser, who inadvertently caused alarm at the Metropolitan Opera, was sprinkling the remains of a friend at opera houses, the police said"
2015-12-30,Step inside a Dal painting or travel through the Garden of Eden on the back of a fish Museums are enhancing technology to break down boundaries in the imagination Some managers lead by dominating employees others try to win them over But the most effective leaders deploy the style best suited to the situation Farhad is going as sexy Donald Trump and Mike as Guy Fieri Amazon gets them reminiscing about Matthew McConaughey in a s stoner movie Caleb Madison updates us on his whereabouts
2015-12-31,A bunny fancier awaiting criminal trial rebuilds her large herd in a vacant lot next to a Brooklyn tire shop Some customers call for people to stop drinking the brand after its owner says he backs the Republican presidential nominee My grandfathers family was all but wiped out in the Holocaust and I was the last person in my line to hold my familys name ATT has long rewarded shareholders with one of the most sumptuous dividends on Wall Street But the debt its taking on for its Time Warner deal could put that at risk Lawrence Levy tackles a long list of complex subjects that have been covered elsewhere but uses his personal story as vehicle to add a new dimension
2016-01-01,The new laptops feature a Touch Bar where function keys used to be It works differently depending on the app in use
2016-01-02,"Forget blood, gore and scary monsters In the early th century, games like Snap Apple kept the holidays focus on romance"
2016-01-03,"Ms Onos early albums, which brought the worlds of rock music and avantgarde art together in an inventive headon collision, are being reissued The Fusion may not be as miserly on gasoline as the Toyota Prius, but the Ford has the handsome chiseled lines that many hybrids lack If Mozillas browser automatically calls up that standalone mail software you never use when you click a mailto link, heres how to fix it"
2016-01-04,"A listing of discussions, film screenings, cultural activities and walking tours in New York City A new release by WikiLeaks reveals how efforts to limit potential conflicts led to infighting among advisers in the years before Mrs Clinton announced her  candidacy The South Korean company pledges to work with regulators and other outsiders to study the fires that led it to cancel the highend smartphone Many conquerors and countries have left their mark on this Mediterranean archipelago, and visitors will likely be entranced with the cultural mashup"
2016-01-05,"Apples stock dropped after the company reported that its iPhone sales fell  percent from a year earlier Startups are trying to break off pieces of the furniture market by offering custom sizes and colors, or more affordable prices, and quicker turnaround The Museum of Modern Art has acquired the original set of  emoji that were designed by Shigetaka Kurita The latest version of Apples mobile Music app removes the simple, builtin way to apply star rankings to songs, but dont let that stop you Recently introduced game consoles are breaking the usual newproduct cycle, while interest grows in virtual reality titles Apps that focus on running and other exercises can help you reach your fitness goals In a call with investors, the chiefs of the companies noted that the combined trove of their consumer data would be useful to marketers and consumers"
