Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,54.410000,55.230000,54.299999,55.220001,52.571377,39952800
2015-12-02,55.320000,55.959999,55.060001,55.209999,52.561848,47274900
2015-12-03,55.490002,55.770000,53.930000,54.200001,51.600296,38627800
2015-12-04,54.119999,56.230000,54.099998,55.910000,53.228275,43963700
2015-12-07,55.790001,55.970001,55.290001,55.810001,53.133072,30709800
2015-12-08,55.470001,56.099998,54.990002,55.790001,53.114033,32878000
2015-12-09,55.369999,55.869999,54.509998,54.980000,52.342884,36373200
2015-12-10,55.389999,55.660000,55.009998,55.270000,52.618977,31620700
2015-12-11,54.709999,55.099998,54.009998,54.060001,51.467010,39549500
2015-12-14,54.330002,55.209999,53.680000,55.139999,52.495205,46768900
2015-12-15,55.660000,55.900002,55.090000,55.200001,52.552334,39843000
2015-12-16,55.540001,56.250000,54.759998,56.130001,53.437721,37503300
2015-12-17,56.360001,56.790001,55.529999,55.700001,53.028351,41280900
2015-12-18,55.770000,56.000000,54.029999,54.130001,51.533657,84684200
2015-12-21,54.880001,55.349998,54.230000,54.830002,52.200081,37246300
2015-12-22,54.990002,55.480000,54.500000,55.349998,52.695137,28300300
2015-12-23,55.700001,55.880001,55.439999,55.820000,53.142597,27279800
2015-12-24,55.860001,55.959999,55.430000,55.669998,52.999783,9570000
2015-12-28,55.349998,55.950001,54.980000,55.950001,53.266361,21698000
2015-12-29,56.290001,56.849998,56.060001,56.549999,53.837578,27731400
2015-12-30,56.470001,56.779999,56.290001,56.310001,53.609093,21704500
2015-12-31,56.040001,56.189999,55.419998,55.480000,52.818901,27334100
2016-01-04,54.320000,54.799999,53.389999,54.799999,52.171520,53778000
2016-01-05,54.930000,55.389999,54.540001,55.049999,52.409531,34079700
2016-01-06,54.320000,54.400002,53.639999,54.049999,51.457489,39518900
2016-01-07,52.700001,53.490002,52.070000,52.169998,49.667664,56564900
2016-01-08,52.369999,53.279999,52.150002,52.330002,49.819996,48754000
2016-01-11,52.509998,52.849998,51.459999,52.299999,49.791431,36663600
2016-01-12,52.759998,53.099998,52.060001,52.779999,50.248405,36095500
2016-01-13,53.799999,54.070000,51.299999,51.639999,49.163086,66883600
2016-01-14,52.000000,53.419998,51.570000,53.110001,50.562584,52381900
2016-01-15,51.310001,51.970001,50.340000,50.990002,48.544266,71820700
2016-01-19,51.480000,51.680000,50.060001,50.560001,48.134892,43564500
2016-01-20,49.980000,51.380001,49.099998,50.790001,48.353859,63273000
2016-01-21,51.000000,51.580002,50.299999,50.480000,48.058727,40191200
2016-01-22,51.410000,52.330002,51.259998,52.290001,49.781910,37555800
2016-01-25,51.939999,52.650002,51.650002,51.790001,49.305889,34707700
2016-01-26,51.790001,52.439999,51.549999,52.169998,49.667664,28699500
2016-01-27,52.009998,52.200001,51.020000,51.220001,48.763233,36775200
2016-01-28,51.860001,52.209999,51.250000,52.060001,49.562946,62513800
2016-01-29,54.730000,55.090000,54.000000,55.090000,52.447609,83611700
2016-02-01,54.880001,55.090000,54.500000,54.709999,52.085831,44208500
2016-02-02,54.169998,54.259998,52.650002,53.000000,50.457851,56313800
2016-02-03,53.250000,53.389999,51.259998,52.160000,49.658146,57559800
2016-02-04,52.099998,52.810001,51.369999,52.000000,49.505825,46803400
2016-02-05,51.939999,52.000000,49.560001,50.160000,47.754078,62009000
2016-02-08,49.549999,49.570000,48.189999,49.410000,47.040047,59290500
2016-02-09,49.020000,50.240002,48.669998,49.279999,46.916283,45822200
2016-02-10,49.889999,50.389999,49.520000,49.709999,47.325657,38237000
2016-02-11,48.680000,50.110001,48.509998,49.689999,47.306622,48878600
2016-02-12,50.250000,50.680000,49.750000,50.500000,48.077766,34243300
2016-02-16,50.900002,51.090000,50.130001,51.090000,48.988693,37291200
2016-02-17,51.490002,52.770000,51.450001,52.419998,50.263988,40789000
2016-02-18,52.330002,52.950001,52.099998,52.189999,50.043457,27176000
2016-02-19,51.970001,52.279999,51.529999,51.820000,49.688671,33559100
2016-02-22,52.279999,53.000000,52.279999,52.650002,50.484531,25008300
2016-02-23,52.340000,52.369999,50.980000,51.180000,49.074993,28895300
2016-02-24,50.689999,51.500000,50.200001,51.360001,49.247593,33014500
2016-02-25,51.730000,52.099998,50.610001,52.099998,49.957153,26695900
2016-02-26,52.599998,52.680000,51.099998,51.299999,49.190056,35975900
2016-02-29,51.349998,51.650002,50.660000,50.880001,48.787334,31654000
2016-03-01,50.970001,52.590000,50.919998,52.580002,50.417416,33024500
2016-03-02,52.410000,52.959999,52.160000,52.950001,50.772194,29289900
2016-03-03,52.970001,52.970001,51.779999,52.349998,50.196873,24418100
2016-03-04,52.400002,52.450001,51.709999,52.029999,49.890030,33034200
2016-03-07,51.560001,51.799999,50.580002,51.029999,48.931156,38407800
2016-03-08,50.799999,52.130001,50.599998,51.650002,49.525669,33835100
2016-03-09,51.889999,52.849998,51.860001,52.840000,50.666714,28251600
2016-03-10,52.930000,52.939999,51.160000,52.049999,49.909210,38384200
2016-03-11,53.000000,53.070000,52.380001,53.070000,50.887257,32275700
2016-03-14,52.709999,53.590000,52.630001,53.169998,50.983143,24083600
2016-03-15,52.750000,53.590000,52.740002,53.590000,51.385872,21104800
2016-03-16,53.450001,54.599998,53.400002,54.349998,52.114613,31691700
2016-03-17,54.209999,55.000000,54.000000,54.660000,52.411861,28223900
2016-03-18,54.919998,54.970001,53.450001,53.490002,51.289989,67625500
2016-03-21,53.250000,53.930000,52.930000,53.860001,51.644772,23925700
2016-03-22,53.610001,54.250000,53.459999,54.070000,51.846130,23124100
2016-03-23,54.110001,54.240002,53.740002,53.970001,51.750244,20129000
2016-03-24,53.840000,54.330002,53.730000,54.209999,51.980373,19950000
2016-03-28,54.209999,54.290001,53.330002,53.540001,51.337929,17025100
2016-03-29,53.660000,54.860001,53.450001,54.709999,52.459805,23375000
2016-03-30,54.930000,55.639999,54.900002,55.049999,52.785824,23008300
2016-03-31,54.950001,55.590000,54.860001,55.230000,52.958412,26360500
2016-04-01,55.049999,55.610001,54.570000,55.570000,53.284435,24399200
2016-04-04,55.430000,55.660000,55.000000,55.430000,53.150192,18928800
2016-04-05,55.189999,55.299999,54.459999,54.560001,52.315975,19272300
2016-04-06,54.360001,55.200001,54.209999,55.119999,52.852936,21032100
2016-04-07,54.869999,54.910000,54.230000,54.459999,52.220085,19225100
2016-04-08,54.669998,55.279999,54.320000,54.419998,52.181725,22167200
2016-04-11,54.490002,55.150002,54.299999,54.310001,52.076263,21414200
2016-04-12,54.369999,54.779999,53.759998,54.650002,52.402275,24574200
2016-04-13,55.119999,55.439999,54.889999,55.349998,53.073486,20818000
2016-04-14,55.220001,55.580002,55.070000,55.360001,53.083073,20875100
2016-04-15,55.299999,55.919998,55.110001,55.650002,53.361149,28793800
2016-04-18,55.490002,56.590000,55.209999,56.459999,54.137833,23150300
2016-04-19,56.630001,56.770000,55.680000,56.389999,54.070709,29596800
2016-04-20,56.290001,56.500000,55.490002,55.590000,53.303616,36195700
2016-04-21,55.799999,56.230000,55.419998,55.779999,53.485794,38909100
2016-04-22,51.910000,52.430000,50.770000,51.779999,49.650318,126834100
2016-04-25,51.779999,52.130001,51.630001,52.110001,49.966747,33226900
2016-04-26,52.259998,52.349998,51.090000,51.439999,49.324295,33532600
2016-04-27,51.480000,51.500000,50.549999,50.939999,48.844860,43369300
2016-04-28,50.619999,50.770000,49.560001,49.900002,47.847637,43134800
2016-04-29,49.349998,50.250000,49.349998,49.869999,47.818874,48411700
2016-05-02,50.000000,50.750000,49.779999,50.610001,48.528442,33114500
2016-05-03,50.340000,50.410000,49.599998,49.779999,47.732574,26460200
2016-05-04,49.840000,50.060001,49.459999,49.869999,47.818874,24257600
2016-05-05,49.869999,50.299999,49.730000,49.939999,47.885990,25390700
2016-05-06,49.919998,50.389999,49.660000,50.389999,48.317486,24787300
2016-05-09,50.490002,50.590000,50.000000,50.070000,48.010647,17951600
2016-05-10,50.330002,51.099998,50.189999,51.020000,48.921574,22741500
2016-05-11,51.130001,51.779999,51.000000,51.049999,48.950336,24039100
2016-05-12,51.200001,51.810001,50.919998,51.509998,49.391418,24102800
2016-05-13,51.439999,51.900002,51.040001,51.080002,48.979111,22592300
2016-05-16,50.799999,51.959999,50.750000,51.830002,49.698257,20032000
2016-05-17,51.720001,51.730000,50.360001,50.509998,48.771305,27803500
2016-05-18,50.480000,51.139999,50.299999,50.810001,49.060974,24907500
2016-05-19,50.470001,50.619999,49.820000,50.320000,48.587845,23842400
2016-05-20,50.480000,51.220001,50.400002,50.619999,48.877525,23905800
2016-05-23,50.599998,50.680000,49.980000,50.029999,48.307831,25999700
2016-05-24,50.700001,51.709999,50.400002,51.590000,49.814133,34757900
2016-05-25,51.919998,52.490002,51.790001,52.119999,50.325882,24040200
2016-05-26,51.930000,51.980000,51.360001,51.889999,50.103798,24182900
